model,prune_type,prune_ratio,test_acc,test_loss,score
ResNet,unstructured,0.2,88.25,0.4233705073217802,0.5031093888215418
ResNet,structured,0.2,56.03,1.2882200404058528,0.4213557186696625
ResNet,unstructured,0.4,88.37,0.42602494547638714,0.49957721925488563
ResNet,structured,0.4,20.28,2.2366199463228638,0.3160328443184589
ResNet,unstructured,0.6,87.84,0.4911523042600366,0.49623771348277423
ResNet,structured,0.6,10.0,2.317881587185437,0.21070996996725533
