model,prune_type,prune_ratio,test_acc,test_loss,score
ResNet,unstructured,0.2,90.98,0.34832978474942944,3.9438398752153256
ResNet,structured,0.2,62.75,1.1259315828733807,3.1902240571428573
ResNet,unstructured,0.4,90.98,0.3414847605590579,3.927258669097119
ResNet,structured,0.4,19.8,2.221557019632074,2.392668042857143
ResNet,unstructured,0.6,90.78,0.3957100733171535,3.8907800156370658
ResNet,structured,0.6,10.01,2.2810734223715867,1.5951120285714286
