epoch,train_acc,test_loss,test_acc,lr
1,17.066,2.027334400370151,24.32,0.0001
2,37.15,1.591447024405757,45.83,0.02008
3,55.386,0.981705557696427,68.09,0.04006
4,63.896,1.078519452221786,66.48,0.060039999999999996
5,68.174,0.8824666240547276,73.03,0.08002
6,70.196,0.7851390370839759,75.85,0.1
7,72.946,0.7785268901269647,76.08,0.09998826490092422
8,74.524,0.6367849571795403,80.99,0.09995306511219886
9,75.374,0.8071959388406971,75.05,0.09989441715674424
10,76.17,0.704431888046144,78.36,0.09981234856414309
11,76.612,0.6292083214355421,81.76,0.09970689785771801
12,77.232,0.9105359662937212,72.65,0.0995781145364485
13,77.638,0.6295917234088801,80.88,0.09942605905173595
14,78.146,0.6603944373281696,80.49,0.09925080277902745
15,78.29,0.644408110010473,80.51,0.09905242798431199
16,78.424,0.7288622063926503,78.34,0.09883102778550437
17,78.89,0.6182667892190474,81.64,0.09858670610873531
18,78.892,0.5921241807032235,82.42,0.09831957763956815
19,79.302,0.5349752423883993,84.62,0.09802976776916496
20,79.532,0.6672838854638836,80.08,0.09771741253542743
21,79.662,0.6243610604654385,81.62,0.09738265855914015
22,79.736,0.5741823632505876,83.18,0.09702566297514623
23,79.81,0.5774186494984205,83.47,0.09664659335858757
24,80.212,0.5322850244709209,85.1,0.09624562764624446
25,80.456,0.7957981259007997,76.19,0.0958229540530113
26,80.728,0.6220899129970164,81.72,0.09537877098354786
27,80.682,0.6427148180671886,81.3,0.09491328693914723
28,80.736,0.657060608833651,80.85,0.09442672041986458
29,81.002,0.6088207824320733,82.03,0.09391929982195234
30,80.758,0.562743415938148,83.38,0.09339126333065008
31,81.116,0.5096020498607732,85.2,0.09284285880837947
32,81.13,0.4927024894122836,85.76,0.0922743436783966
33,81.544,0.52817359604413,84.96,0.09168598480395652
34,81.654,0.5563083811651303,84.22,0.09107805836304658
35,81.41,0.7357954360261748,77.83,0.09045084971874738
36,81.738,0.528603479454789,84.53,0.0898046532852822
37,81.932,0.5632319299480583,83.45,0.0891397723898178
38,81.634,0.495920183160637,85.69,0.08845651913008146
39,82.146,0.5350568505782115,84.57,0.08775521422786105
40,81.918,0.527675293668916,84.83,0.08703618687845698
41,82.37,0.6383437612388707,81.2,0.08629977459615656
42,82.432,0.5264748553686505,84.68,0.08554632305580356
43,82.28,0.4842725694179535,86.54,0.08477618593053696
44,82.458,0.521431889715074,84.8,0.08398972472577543
45,82.752,0.5667521791367591,83.39,0.08318730860952527
46,82.998,0.49135405617424205,85.88,0.08236931423909143
47,82.73,0.5493920411490187,84.01,0.08153612558427314
48,82.878,0.49596454787857924,85.92,0.08068813374712692
49,83.224,0.5215148722069173,85.27,0.07982573677838176
50,83.224,0.4673076958595952,87.19,0.07894933949059248
51,83.352,0.5112915114511417,85.22,0.07805935326811915
52,83.5,0.47504365066938764,86.67,0.07715619587402167
53,83.71,0.5173975233035751,85.27,0.07624029125396006
54,83.404,0.6403528625452066,81.6,0.07531206933719273
55,83.56,0.5341476669794396,84.68,0.07437196583476599
56,83.356,0.44808964374699173,87.58,0.07342042203498954
57,84.098,0.5370242233517803,84.72,0.07245788459629399
58,84.122,0.5517242611209049,84.07,0.07148480533756761
59,84.096,0.45878460871267923,86.96,0.07050164102607083
60,84.36,0.4332709602917297,87.93,0.06950885316302775
61,84.554,0.46448799401898927,87.05,0.06850690776699574
62,84.416,0.5635404066194462,83.93,0.06749627515511444
63,84.738,0.4296989240978338,88.23,0.06647742972233704
64,84.68,0.633639332237123,81.83,0.06545084971874739
65,84.982,0.4161033413455456,88.6,0.06441701702506755
66,85.226,0.4638843445838252,87.31,0.06337641692646107
67,85.248,0.46638324064544484,86.98,0.06232953788473812
68,85.264,0.4489629012119921,87.39,0.06127687130906973
69,85.486,0.4729951197587991,86.44,0.060218911325318265
70,85.236,0.4054727554321289,88.9,0.059156154544092815
71,85.504,0.4369919583012786,87.69,0.05808909982763826
72,85.712,0.38205289784111557,89.68,0.057018248055667235
73,85.868,0.4359472848569291,87.99,0.05594410189024534
74,86.046,0.4091427133807653,88.76,0.054867165539839495
75,86.078,0.38600779730307905,89.74,0.053787944522640546
76,86.394,0.5124412235579913,85.43,0.052706945429270895
77,86.114,0.3709078517895711,90.42,0.05162467568498904
78,86.134,0.3844183436300181,89.67,0.05054164331150201
79,86.516,0.362189994582647,90.58,0.049458356688498024
80,86.974,0.48940654532818856,86.37,0.048375324315010994
81,87.098,0.4231275555830968,88.25,0.04729305457072914
82,86.854,0.453306279604948,87.43,0.04621205547735951
83,87.264,0.3694124280274669,90.46,0.045132834460160524
84,87.392,0.4104308776463134,88.84,0.044055898109754695
85,87.51,0.3820877567499499,89.78,0.0429817519443328
86,87.602,0.3663051401889777,90.16,0.04191090017236178
87,87.908,0.3503259927788867,91.01,0.04084384545590721
